word,doc_id:freq
fala,"[(0, 1), (10, 1), (12, 1), (25, 1), (32, 7), (36, 1), (49, 1), (56, 1), (57, 1), (68, 1), (77, 1), (88, 1), (99, 1), (101, 1), (107, 1), (113, 1), (128, 1), (143, 1), (148, 1), (151, 1), (164, 1), (179, 2), (192, 1), (199, 1), (202, 2), (207, 1), (210, 3), (215, 1), (221, 2), (222, 1), (238, 1), (247, 1)]"
sociedade,"[(0, 1), (2, 1), (11, 1), (18, 1), (22, 2), (24, 8), (31, 2), (35, 1), (36, 1), (58, 1), (59, 1), (68, 1), (83, 2), (85, 1), (86, 1), (91, 1), (92, 1), (96, 1), (99, 1), (107, 3), (108, 1), (111, 1), (126, 1), (134, 1), (145, 1), (146, 1), (147, 1), (154, 3), (157, 2), (159, 1), (164, 1), (165, 1), (170, 2), (172, 3), (200, 1), (207, 2), (209, 1), (210, 1), (213, 2), (220, 1), (222, 2), (232, 2), (238, 1), (241, 1)]"
Rubens,"[(0, 1), (6, 1)]"
Paiva,"[(0, 1), (5, 2), (6, 1), (207, 1)]"
facínoras,"[(0, 1)]"
mataram,"[(0, 1), (153, 1), (164, 1), (165, 1), (183, 1), (240, 2)]"
disse,"[(0, 4), (3, 2), (4, 1), (5, 1), (7, 2), (9, 1), (10, 1), (12, 3), (16, 1), (18, 3), (23, 1), (24, 1), (25, 2), (27, 1), (36, 1), (38, 1), (39, 3), (40, 2), (41, 1), (44, 2), (48, 2), (54, 2), (57, 4), (62, 5), (63, 1), (68, 4), (69, 4), (72, 1), (74, 1), (76, 2), (78, 2), (79, 3), (81, 4), (92, 2), (93, 1), (94, 2), (95, 1), (96, 2), (97, 1), (101, 1), (102, 3), (105, 1), (110, 4), (111, 1), (112, 2), (113, 1), (114, 1), (116, 2), (117, 1), (118, 1), (121, 4), (123, 1), (135, 1), (150, 1), (157, 2), (159, 1), (163, 1), (165, 2), (171, 2), (172, 1), (192, 1), (194, 5), (195, 2), (196, 2), (197, 1), (204, 3), (207, 1), (208, 3), (211, 1), (212, 1), (213, 1), (214, 3), (216, 1), (217, 2), (219, 1), (221, 1), (222, 1), (224, 1), (225, 1), (227, 1), (229, 4), (230, 1), (231, 2), (232, 2), (234, 7), (236, 2), (237, 3), (239, 3), (240, 2), (241, 1), (245, 1), (246, 1), (248, 2)]"
emedebista,"[(0, 1), (205, 1)]"
referência,"[(0, 1), (9, 1), (17, 1), (21, 1), (62, 2), (64, 1), (74, 1), (79, 1), (94, 1), (100, 1), (108, 1), (109, 1), (142, 1), (186, 1), (188, 2), (205, 1), (214, 1), (224, 1), (239, 1), (247, 2)]"
porta-voz,"[(0, 1), (4, 1), (24, 1), (63, 1), (65, 1), (69, 1), (76, 1), (123, 1), (164, 1), (165, 2), (180, 1), (204, 2), (207, 2), (240, 1), (245, 1)]"
Presidência,"[(0, 1), (18, 1), (62, 2), (87, 1), (94, 1), (161, 1), (164, 3), (206, 2)]"
comentou,"[(0, 1), (3, 1), (25, 1), (44, 1), (57, 2), (87, 1), (159, 1), (192, 2), (248, 1)]"
falar,"[(0, 2), (2, 1), (10, 1), (13, 4), (24, 1), (32, 8), (36, 4), (45, 1), (56, 1), (57, 1), (58, 1), (59, 1), (62, 1), (64, 2), (92, 1), (101, 2), (116, 1), (119, 1), (121, 3), (128, 1), (130, 1), (146, 1), (151, 1), (161, 1), (163, 1), (165, 1), (172, 1), (174, 1), (192, 1), (194, 2), (202, 1), (210, 1), (212, 1), (216, 3), (221, 2), (223, 1), (234, 1), (238, 1), (241, 1), (248, 2)]"
